statename	STATEFIP	YEAR	_TYPE_	_FREQ_	smartphonepct	comppct	broadbandpct	intpct	agepct
			0	24854083	0.8705736187	0.8372327092	0.8434588941	0.8916869697	41.390592322
			1	1192738	0.8563478018	0.7864852476	0.7952955035	0.8546313167	41.581130139
			1	3646219	0.907744964	0.8716400328	0.8665466522	0.919858772	40.215773929
			1	122422	0.8897672129	0.8566114983	0.8974766699	0.9046515679	41.629568215
			1	1515049	0.8782157092	0.8551052648	0.8789296746	0.901665898	44.770237794
			1	756659	0.8746708161	0.8224206529	0.8484227856	0.8779285399	40.257688073
			1	114810	0.8951593861	0.8674880447	0.895902239	0.9210348623	41.931809076
			1	1914050	0.8632757956	0.8323028225	0.8205741398	0.8901944528	41.119645777
			1	588419	0.8463414775	0.8038846881	0.8234031533	0.8720966789	41.351502926
			1	339047	0.8449538184	0.7533491624	0.8003603128	0.8323691687	41.612481455
			1	3144389	0.8596681124	0.8402453331	0.824723947	0.891886194	42.025099312
			1	3696141	0.863895643	0.8463944204	0.8782592973	0.8945191815	41.645566011
			1	1549287	0.8572709438	0.8188537942	0.8260477782	0.8832215962	41.612455923
			1	1027508	0.8222907326	0.8302375237	0.8760416327	0.8809326571	42.943011636
			1	81798	0.8560812431	0.8572051709	0.9106835323	0.9114917916	42.793417932
			1	448605	0.8487672252	0.7967594989	0.8299879365	0.8586594992	42.21724234
			1	2529908	0.8831691523	0.8026705079	0.8004399505	0.8729545995	39.752799311
			1	241732	0.9292747833	0.9201393352	0.854359538	0.9463953658	34.921193719
			1	707335	0.8789887415	0.8695962422	0.8555203157	0.9091298039	41.056281677
			1	1237967	0.8586606781	0.8561468247	0.8302836513	0.9026884291	41.996471635
		2013	2	3132795		0.8411141553	0.8723256245	0.8378205143	40.458839152
		2014	2	3132610		0.8370055805	0.8694795904	0.8488852382	40.823441156
		2015	2	3147005		0.8377581337	0.868854713	0.8628841071	41.083592495
		2016	2	3156487	0.8060876757	0.8301569004	0.8291343039	0.8933943756	41.311650262
		2017	2	3190040	0.8608726292	0.8330793974	0.8274365238	0.9089637343	41.287229
		2018	2	3214539	0.8819384371	0.8337215426	0.8231025968	0.919646894	41.634480403
		2019	2	3239553	0.8981562914	0.8356587199	0.8259065165	0.9280701709	42.224377252
		2020	2	2641054	0.9127384957	0.8523195098	0.8395099051	0.9403223514	42.433971059
		2013	3	150707		0.7901910588	0.8472808495	0.7849036335	40.495358543
		2013	3	459892		0.8681737161	0.8931894235	0.8676030593	39.178215755
		2013	3	15339		0.8527018569	0.9288493127	0.846442729	40.943477411
		2013	3	191034		0.8539957701	0.9145595858	0.8499297741	43.732864307
		2013	3	96568		0.8271808979	0.8868774506	0.8216138047	39.101255074
		2013	3	14286		0.8833555654	0.9209493063	0.8762412924	40.917891642
		2013	3	242036		0.841269429	0.8437914476	0.835785364	40.215534053
		2013	3	74366		0.8179397476	0.8567563615	0.8141013838	40.584971627
		2013	3	44627		0.7613379219	0.862479945	0.7625165001	40.496896498
		2013	3	396629		0.8469000287	0.850911389	0.8393269302	41.143771635
		2013	3	468264		0.8498297573	0.9106062112	0.847573312	40.685856696
		2013	3	194711		0.8268334865	0.8499820858	0.8266119008	40.850470698
		2013	3	128382		0.8380749053	0.9109628531	0.8332257584	42.069822872
		2013	3	10618		0.8727162612	0.9537565383	0.8751387908	41.842154831
		2013	3	55945		0.801595534	0.8603843832	0.7958055938	41.409616588
		2013	3	318747		0.8072551003	0.8223512918	0.8104005263	38.849758586
		2013	3	28967		0.9207484082	0.8436972715	0.9082630811	33.858666759
		2013	3	89432		0.8739299059	0.8802288927	0.8666934683	40.215672243
		2013	3	152245		0.8591973175	0.8437523661	0.8514673245	41.245807744
		2014	3	150126		0.7829901372	0.8316551028	0.7983501439	41.028755845
		2014	3	461467		0.8673856863	0.8847247659	0.8837310873	39.496761415
		2014	3	15531		0.8509270028	0.9187323241	0.8669357597	40.946043397
		2014	3	192673		0.8531224467	0.9122535323	0.8607357946	44.096500288
		2014	3	97519		0.8176515535	0.8820282151	0.8318248835	39.353490089
		2014	3	14322		0.8816559283	0.9197142371	0.8940976079	40.874109761
		2014	3	240626		0.8343463655	0.8419874688	0.8470604639	40.664832562
		2014	3	73670		0.8073887682	0.849153008	0.8207709024	40.97145378
